folder_path	research_file	direct_file_count	recursive_file_count	direct_child_folder_count	status
.	Docs/researches/current_folder_research.md	0	34654	1	ok
sources	Docs/researches/sources/current_folder_research.md	0	34654	7	ok
sources/block-storage	Docs/researches/sources/block-storage/current_folder_research.md	0	1969	15	ok
sources/cow-pools	Docs/researches/sources/cow-pools/current_folder_research.md	0	1414	5	ok
sources/local-fs	Docs/researches/sources/local-fs/current_folder_research.md	0	2556	21	ok
sources/os	Docs/researches/sources/os/current_folder_research.md	0	24893	5	ok
sources/teaching	Docs/researches/sources/teaching/current_folder_research.md	0	429	5	ok
sources/virtualization	Docs/researches/sources/virtualization/current_folder_research.md	0	2341	11	ok
sources/windows	Docs/researches/sources/windows/current_folder_research.md	0	1052	5	ok
sources/block-storage/bcache-tools	Docs/researches/sources/block-storage/bcache-tools/current_folder_research.md	25	30	4	ok
sources/block-storage/cryptsetup	Docs/researches/sources/block-storage/cryptsetup/current_folder_research.md	0	141	2	ok
sources/block-storage/devicemapper-rs	Docs/researches/sources/block-storage/devicemapper-rs/current_folder_research.md	0	29	1	ok
sources/block-storage/kvdo	Docs/researches/sources/block-storage/kvdo/current_folder_research.md	1	258	1	ok
sources/block-storage/libblkid-rs	Docs/researches/sources/block-storage/libblkid-rs/current_folder_research.md	0	15	1	ok
sources/block-storage/libcryptsetup-rs	Docs/researches/sources/block-storage/libcryptsetup-rs/current_folder_research.md	0	30	1	ok
sources/block-storage/linux-dm	Docs/researches/sources/block-storage/linux-dm/current_folder_research.md	0	172	1	ok
sources/block-storage/lvm2	Docs/researches/sources/block-storage/lvm2/current_folder_research.md	0	306	3	ok
sources/block-storage/mdadm	Docs/researches/sources/block-storage/mdadm/current_folder_research.md	76	116	5	ok
sources/block-storage/parted	Docs/researches/sources/block-storage/parted/current_folder_research.md	0	145	2	ok
sources/block-storage/stratis-cli	Docs/researches/sources/block-storage/stratis-cli/current_folder_research.md	0	37	1	ok
sources/block-storage/stratisd	Docs/researches/sources/block-storage/stratisd/current_folder_research.md	0	222	1	ok
sources/block-storage/thin-provisioning-tools	Docs/researches/sources/block-storage/thin-provisioning-tools/current_folder_research.md	0	184	1	ok
sources/block-storage/util-linux	Docs/researches/sources/block-storage/util-linux/current_folder_research.md	0	242	3	ok
sources/block-storage/vdo	Docs/researches/sources/block-storage/vdo/current_folder_research.md	0	42	1	ok
sources/cow-pools/bcachefs	Docs/researches/sources/cow-pools/bcachefs/current_folder_research.md	0	300	1	ok
sources/cow-pools/bcachefs-tools	Docs/researches/sources/cow-pools/bcachefs-tools/current_folder_research.md	7	642	17	ok
sources/cow-pools/nilfs-utils	Docs/researches/sources/cow-pools/nilfs-utils/current_folder_research.md	3	84	7	ok
