item_id	source_path	research_path	repo_id	category	lines	bytes	strategy	work_id	chunk_count	status
file_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_b224cf78295e	sources/os/plan9/9front/sys/src/9/arm64/bootargs.c	Docs/researches/sources/os/plan9/9front/sys/src/9/arm64/bootargs.c_research.md	9front	os-vfs	249	4361	grouped	group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7	0	ok
file_sources_os_plan9_9front_sys_src_9_arm64_cache_v8_s_331886ea38c6	sources/os/plan9/9front/sys/src/9/arm64/cache.v8.s	Docs/researches/sources/os/plan9/9front/sys/src/9/arm64/cache.v8.s_research.md	9front	os-vfs	212	3232	grouped	group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7	0	ok
file_sources_os_plan9_9front_sys_src_9_arm64_clock_c_5ccd1f0359b9	sources/os/plan9/9front/sys/src/9/arm64/clock.c	Docs/researches/sources/os/plan9/9front/sys/src/9/arm64/clock.c_research.md	9front	os-vfs	120	1559	grouped	group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7	0	ok
file_sources_os_plan9_9front_sys_src_9_arm64_dat_h_e3812a3b9eab	sources/os/plan9/9front/sys/src/9/arm64/dat.h	Docs/researches/sources/os/plan9/9front/sys/src/9/arm64/dat.h_research.md	9front	os-vfs	223	3798	grouped	group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7	0	ok
file_sources_os_plan9_9front_sys_src_9_arm64_devrtc_c_2ffb57089df5	sources/os/plan9/9front/sys/src/9/arm64/devrtc.c	Docs/researches/sources/os/plan9/9front/sys/src/9/arm64/devrtc.c_research.md	9front	os-vfs	106	1522	grouped	group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7	0	ok
file_sources_os_plan9_9front_sys_src_9_arm64_fns_h_f81de1096819	sources/os/plan9/9front/sys/src/9/arm64/fns.h	Docs/researches/sources/os/plan9/9front/sys/src/9/arm64/fns.h_research.md	9front	os-vfs	172	4491	grouped	group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7	0	ok
file_sources_os_plan9_9front_sys_src_9_arm64_fpu_c_a3d8f2b7d64d	sources/os/plan9/9front/sys/src/9/arm64/fpu.c	Docs/researches/sources/os/plan9/9front/sys/src/9/arm64/fpu.c_research.md	9front	os-vfs	344	5460	grouped	group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7	0	ok
file_sources_os_plan9_9front_sys_src_9_arm64_gic_c_94747fb57d81	sources/os/plan9/9front/sys/src/9/arm64/gic.c	Docs/researches/sources/os/plan9/9front/sys/src/9/arm64/gic.c_research.md	9front	os-vfs	319	7305	grouped	group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7	0	ok
file_sources_os_plan9_9front_sys_src_9_arm64_init9_s_065d63f2984a	sources/os/plan9/9front/sys/src/9/arm64/init9.s	Docs/researches/sources/os/plan9/9front/sys/src/9/arm64/init9.s_research.md	9front	os-vfs	4	97	grouped	group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7	0	ok
file_sources_os_plan9_9front_sys_src_9_arm64_io_h_3d0de978f624	sources/os/plan9/9front/sys/src/9/arm64/io.h	Docs/researches/sources/os/plan9/9front/sys/src/9/arm64/io.h_research.md	9front	os-vfs	19	255	grouped	group_1_9front_sources_os_plan9_9front_sys_src_9_arm64_bootargs_c_sources_os_p_f1228a27a0f7	0	ok
