name	url	path	tier	category	recurse	default_count
linux	https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git	sources/os/linux/linux	required	os-vfs	no	yes
linux-stable	https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git	sources/os/linux/linux-stable	important	os-vfs	no	no
freebsd-src	https://git.FreeBSD.org/src.git	sources/os/bsd/freebsd-src	required	os-vfs	no	yes
openbsd-src	https://github.com/openbsd/src.git	sources/os/bsd/openbsd-src	required	os-vfs	no	yes
netbsd-src	https://github.com/NetBSD/src.git	sources/os/bsd/netbsd-src	required	os-vfs	no	yes
dragonflybsd	https://github.com/DragonFlyBSD/DragonFlyBSD.git	sources/os/bsd/dragonflybsd	required	os-vfs	no	yes
illumos-gate	https://github.com/illumos/illumos-gate.git	sources/os/illumos/illumos-gate	required	os-vfs	no	yes
plan9	https://github.com/plan9foundation/plan9.git	sources/os/plan9/plan9	important	os-vfs	no	yes
9front	https://github.com/9front/9front.git	sources/os/plan9/9front	important	os-vfs	no	yes
reactos	https://github.com/reactos/reactos.git	sources/windows/reactos	required	windows-public	no	yes
windows-driver-samples	https://github.com/microsoft/Windows-driver-samples.git	sources/windows/windows-driver-samples	important	windows-public	no	yes
winfsp	https://github.com/winfsp/winfsp.git	sources/windows/winfsp	required	windows-public	no	yes
dokany	https://github.com/dokan-dev/dokany.git	sources/windows/dokany	required	windows-public	no	yes
winbtrfs	https://github.com/maharmstone/btrfs.git	sources/windows/winbtrfs	required	windows-public	no	yes
xv6-riscv	https://github.com/mit-pdos/xv6-riscv.git	sources/teaching/xv6-riscv	important	teaching	no	yes
xv6-public	https://github.com/mit-pdos/xv6-public.git	sources/teaching/xv6-public	important	teaching	no	yes
minix	https://github.com/Stichting-MINIX-Research-Foundation/minix.git	sources/teaching/minix	important	teaching	no	yes
os161	https://github.com/ops-class/os161.git	sources/teaching/os161	important	teaching	no	yes
pintos	https://github.com/fghanei/pintos.git	sources/teaching/pintos	adjacent	teaching	no	no
