tier	category	id	path	url	recurse	default_count	notes
required	os-vfs	linux	sources/os/linux/linux	https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git	no	yes	VFS page-cache block layer and in-kernel local/network filesystems.
important	os-vfs	linux-stable	sources/os/linux/linux-stable	https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git	no	no	Stable backport context for filesystem fixes.
required	os-vfs	freebsd-src	sources/os/bsd/freebsd-src	https://git.FreeBSD.org/src.git	no	yes	FreeBSD VFS UFS ZFS FUSE and filesystem tools.
required	os-vfs	openbsd-src	sources/os/bsd/openbsd-src	https://github.com/openbsd/src.git	no	yes	OpenBSD VFS FFS UFS FUSE and security-oriented FS paths.
required	os-vfs	netbsd-src	sources/os/bsd/netbsd-src	https://github.com/NetBSD/src.git	no	yes	NetBSD VFS PUFFS refuse rump and historical ZFS port.
required	os-vfs	dragonflybsd	sources/os/bsd/dragonflybsd	https://github.com/DragonFlyBSD/DragonFlyBSD.git	no	yes	HAMMER HAMMER2 vnode and BSD VFS contrast.
required	os-vfs	illumos-gate	sources/os/illumos/illumos-gate	https://github.com/illumos/illumos-gate.git	no	yes	Solaris VFS vnode ZFS NFS UFS tmpfs lineage.
important	os-vfs	plan9	sources/os/plan9/plan9	https://github.com/plan9foundation/plan9.git	no	yes	Namespace 9P fossil venti and lib9p source model.
important	os-vfs	9front	sources/os/plan9/9front	https://github.com/9front/9front.git	no	yes	Actively maintained Plan 9 derivative and 9P/fossil contrast.
required	windows-public	reactos	sources/windows/reactos	https://github.com/reactos/reactos.git	no	yes	Public NT-like FS and IO manager implementation.
important	windows-public	windows-driver-samples	sources/windows/windows-driver-samples	https://github.com/microsoft/Windows-driver-samples.git	no	yes	Public filesystem and minifilter samples only.
required	windows-public	winfsp	sources/windows/winfsp	https://github.com/winfsp/winfsp.git	no	yes	Windows user-mode filesystem framework and FUSE bridge.
required	windows-public	dokany	sources/windows/dokany	https://github.com/dokan-dev/dokany.git	no	yes	Windows FUSE-like filesystem driver and library.
required	windows-public	winbtrfs	sources/windows/winbtrfs	https://github.com/maharmstone/btrfs.git	no	yes	Public Windows Btrfs driver implementation.
important	teaching	xv6-riscv	sources/teaching/xv6-riscv	https://github.com/mit-pdos/xv6-riscv.git	no	yes	Minimal inode log buffer-cache and file syscall implementation.
important	teaching	xv6-public	sources/teaching/xv6-public	https://github.com/mit-pdos/xv6-public.git	no	yes	Historical xv6 x86 filesystem implementation.
important	teaching	minix	sources/teaching/minix	https://github.com/Stichting-MINIX-Research-Foundation/minix.git	no	yes	Microkernel VFS servers filesystem servers and storage drivers.
important	teaching	os161	sources/teaching/os161	https://github.com/ops-class/os161.git	no	yes	Teaching VFS structure closer to production OSes than xv6.
adjacent	teaching	pintos	sources/teaching/pintos	https://github.com/fghanei/pintos.git	no	no	Teaching file system project baseline; exclude student solution forks.
required	local-fs	e2fsprogs	sources/local-fs/e2fsprogs	https://git.kernel.org/pub/scm/fs/ext2/e2fsprogs.git	no	yes	ext2 ext3 ext4 mkfs fsck debugfs libraries.
required	local-fs	xfsprogs	sources/local-fs/xfsprogs	https://git.kernel.org/pub/scm/fs/xfs/xfsprogs-dev.git	no	yes	XFS userspace repair mkfs grow quota and libraries.
important	local-fs	xfsdump	sources/local-fs/xfsdump	https://git.kernel.org/pub/scm/fs/xfs/xfsdump-dev.git	no	yes	XFS dump restore and incremental backup source.
required	local-fs	btrfs-progs	sources/local-fs/btrfs-progs	https://github.com/kdave/btrfs-progs.git	no	yes	Btrfs mkfs check send receive inspect and libbtrfsutil.
important	local-fs	btrfs-linux	sources/local-fs/btrfs-linux	https://github.com/btrfs/linux.git	no	yes	Btrfs development kernel tree for in-flight fs/btrfs work.
important	local-fs	kdave-linux	sources/local-fs/kdave-linux	https://git.kernel.org/pub/scm/linux/kernel/git/kdave/linux.git	no	no	Btrfs maintainer integration tree; can stay deferred if LOC is high.
required	local-fs	f2fs-tools	sources/local-fs/f2fs-tools	https://git.kernel.org/pub/scm/linux/kernel/git/jaegeuk/f2fs-tools.git	no	yes	F2FS mkfs fsck dump resize and sparse mobile-flash tooling.
required	local-fs	erofs-utils	sources/local-fs/erofs-utils	https://git.kernel.org/pub/scm/linux/kernel/git/xiang/erofs-utils.git	no	yes	EROFS mkfs fsck dump and compressed read-only image tooling.
required	local-fs	dosfstools	sources/local-fs/dosfstools	https://github.com/dosfstools/dosfstools.git	no	yes	FAT mkfs fsck userspace.
required	local-fs	exfatprogs	sources/local-fs/exfatprogs	https://github.com/exfatprogs/exfatprogs.git	no	yes	exFAT mkfs fsck dump tune label tooling.
required	local-fs	ntfs-3g	sources/local-fs/ntfs-3g	https://github.com/tuxera/ntfs-3g.git	no	yes	NTFS userspace driver and ntfsprogs source.
important	local-fs	udftools	sources/local-fs/udftools	https://github.com/pali/udftools.git	no	yes	UDF filesystem userspace tools.
important	local-fs	jfsutils	sources/local-fs/jfsutils	https://github.com/SudoMaker/jfsutils.git	no	yes	JFS fsck mkfs logdump and utilities; public Git mirror, canonical source should be rechecked.
adjacent	local-fs	reiserfsprogs	sources/local-fs/reiserfsprogs	https://git.kernel.org/pub/scm/linux/kernel/git/jeffm/reiserfsprogs.git	no	no	Historical tree filesystem userspace.
important	local-fs	squashfs-tools	sources/local-fs/squashfs-tools	https://github.com/plougher/squashfs-tools.git	no	yes	SquashFS image creation extraction and compression paths.
adjacent	local-fs	apfs-fuse	sources/local-fs/apfs-fuse	https://github.com/sgan81/apfs-fuse.git	no	no	Public APFS reverse-engineered FUSE reader.
adjacent	local-fs	linux-apfs-rw	sources/local-fs/linux-apfs-rw	https://github.com/linux-apfs/linux-apfs-rw.git	no	no	Public Linux APFS read/write implementation.
required	cow-pools	openzfs	sources/cow-pools/openzfs	https://github.com/openzfs/zfs.git	no	yes	ZFS core pool checksum COW snapshot and platform glue.
required	cow-pools	bcachefs	sources/cow-pools/bcachefs	https://github.com/koverstreet/bcachefs.git	no	yes	bcachefs filesystem kernel source mirror.
required	cow-pools	bcachefs-tools	sources/cow-pools/bcachefs-tools	https://github.com/koverstreet/bcachefs-tools.git	no	yes	bcachefs mkfs fsck mount and tooling.
required	cow-pools	nilfs-utils	sources/cow-pools/nilfs-utils	https://github.com/nilfs-dev/nilfs-utils.git	no	yes	NILFS continuous snapshot userspace tools.
important	cow-pools	nilfs2-kmod10	sources/cow-pools/nilfs2-kmod10	https://github.com/nilfs-dev/nilfs2-kmod10.git	no	no	Standalone NILFS2 module for enterprise kernel contrast.
required	block-storage	bcache-tools	sources/block-storage/bcache-tools	https://git.kernel.org/pub/scm/linux/kernel/git/colyli/bcache-tools.git	no	yes	bcache userspace formatting registration and inspection.
important	block-storage	util-linux	sources/block-storage/util-linux	https://github.com/util-linux/util-linux.git	no	yes	mount umount findmnt libmount libblkid losetup fsck wrapper and block utilities.
important	block-storage	mdadm	sources/block-storage/mdadm	https://git.kernel.org/pub/scm/utils/mdadm/mdadm.git	no	yes	Linux software RAID management source.
important	block-storage	parted	sources/block-storage/parted	https://git.savannah.gnu.org/git/parted.git	no	yes	GPT MBR partitioning and disk layout tools.
important	block-storage	linux-dm	sources/block-storage/linux-dm	https://git.kernel.org/pub/scm/linux/kernel/git/device-mapper/linux-dm.git	no	no	device-mapper maintainer kernel tree for dm targets.
required	block-storage	lvm2	sources/block-storage/lvm2	https://gitlab.com/lvmteam/lvm2.git	no	yes	LVM libdevmapper dmsetup thin/cache metadata integration.
required	block-storage	thin-provisioning-tools	sources/block-storage/thin-provisioning-tools	https://github.com/device-mapper-utils/thin-provisioning-tools.git	no	yes	dm-thin dm-cache dm-era metadata tools.
required	block-storage	cryptsetup	sources/block-storage/cryptsetup	https://gitlab.com/cryptsetup/cryptsetup.git	no	yes	LUKS dm-crypt verity integrity userspace.
important	block-storage	vdo	sources/block-storage/vdo	https://github.com/dm-vdo/vdo.git	no	yes	VDO userspace format and stats tools.
important	block-storage	kvdo	sources/block-storage/kvdo	https://github.com/dm-vdo/kvdo.git	no	no	Historical/out-of-tree VDO kernel source.
important	block-storage	stratisd	sources/block-storage/stratisd	https://github.com/stratis-storage/stratisd.git	no	yes	Stratis storage daemon over dm and XFS.
important	block-storage	stratis-cli	sources/block-storage/stratis-cli	https://github.com/stratis-storage/stratis-cli.git	no	yes	Stratis CLI and D-Bus flow.
adjacent	block-storage	devicemapper-rs	sources/block-storage/devicemapper-rs	https://github.com/stratis-storage/devicemapper-rs.git	no	no	Rust device-mapper bindings used by Stratis.
adjacent	block-storage	libcryptsetup-rs	sources/block-storage/libcryptsetup-rs	https://github.com/stratis-storage/libcryptsetup-rs.git	no	no	Rust libcryptsetup bindings used by Stratis.
adjacent	block-storage	libblkid-rs	sources/block-storage/libblkid-rs	https://github.com/stratis-storage/libblkid-rs.git	no	no	Rust libblkid bindings used by Stratis.
required	user-network-fs	libfuse	sources/user-network-fs/libfuse	https://github.com/libfuse/libfuse.git	no	yes	FUSE protocol library examples and mount utilities.
required	user-network-fs	sshfs	sources/user-network-fs/sshfs	https://github.com/libfuse/sshfs.git	no	yes	FUSE filesystem over SFTP.
important	user-network-fs	go-fuse	sources/user-network-fs/go-fuse	https://github.com/hanwen/go-fuse.git	no	yes	Go FUSE implementation and examples.
important	user-network-fs	bazil-fuse	sources/user-network-fs/bazil-fuse	https://github.com/bazil/fuse.git	no	yes	Go FUSE implementation used by several userfs projects.
important	user-network-fs	pyfuse3	sources/user-network-fs/pyfuse3	https://github.com/libfuse/pyfuse3.git	no	yes	Python FUSE binding and examples.
important	user-network-fs	fusepy	sources/user-network-fs/fusepy	https://github.com/fusepy/fusepy.git	no	no	Small Python FUSE binding for API contrast.
